name,level,price,time,price_buff,time_buff,vege,meat,flour,egg,fish,seafood
一品锅,3,1351,2390,0.1,0.1,30,20,30,0,0,35
油泼豆莛,0,21,60,0.1,0,10,0,0,0,0,0
太极芋泥,0,32,90,0.1,0,15,0,0,0,0,0
奶汤蒲菜,0,57,160,0.1,0.1,25,0,0,0,0,0
一品豆腐,0,88,310,0.1,0.1,0,0,20,0,0,0
拔丝山药,1,176,460,0.1,0.1,30,0,0,20,0,0
糖醋鲤鱼,1,212,685,0.1,0.1,0,0,5,0,20,0
白扒四宝,1,337,910,0.1,0.1,10,10,0,0,0,10
九转大肠,2,450,1145,0.1,0.1,100,50,0,0,0,0
木须肉,2,548,1370,0.1,0.1,10,20,0,80,0,0
汆芙蓉黄管,2,684,1595,0.1,0.1,50,60,0,60,0,0
黄鱼豆腐羹,3,830,1800,0.1,0.1,0,0,20,0,80,0
葱烧海参,3,912,2025,0.1,0.1,10,10,0,0,0,30
扒原壳鲍鱼,3,1252,2250,0.1,0.1,0,50,0,97,20,10
荔枝肉,0,60,190,0.1,0.1,0,20,0,0,0,0
闽生果,0,108,340,0.1,0.1,0,0,25,0,0,0
长汀豆腐干,1,140,490,0.1,0.1,0,0,30,0,0,0
沙茶面,1,218,715,0.1,0.1,0,0,10,5,0,5
鼎边糊,1,314,940,0.1,0.1,0,0,0,30,0,5
海蛎煎,2,466,1205,0.1,0.1,0,0,10,50,0,5
赛蟹羹,2,567,1430,0.1,0.1,0,0,0,50,0,10
东海玉螺香,2,704,1655,0.1,0.1,0,0,0,0,0,25
南海金莲,3,804,1860,0.1,0.1,200,0,50,0,0,0
蟹黄扒官燕,3,995,2085,0.1,0.1,0,30,30,60,0,15
佛跳墙,3,1207,2310,0.1,0.1,0,20,0,100,20,11
农家小炒肉,0,35,120,0.1,0,5,8,0,0,0,0
带把肘子,0,43,150,0.1,0.1,5,10,0,0,0,0
烩肉三鲜,0,66,250,0.1,0.1,10,12,0,0,0,0
箸头春,0,101,400,0.1,0.1,0,15,10,0,0,0
岐山臊子面,1,162,550,0.1,0.1,0,5,25,5,0,0
金钱发菜,1,253,775,0.1,0.1,20,0,30,10,0,0
烤小猪,1,353,1000,0.1,0.1,0,100,0,0,0,0
明四喜,2,476,1325,0.1,0.1,10,30,0,0,5,8
长沙臭豆腐,0,54,220,0.1,0.1,0,0,12,0,0,0
冰糖湘莲,0,90,370,0.1,0.1,15,0,10,0,0,0
腊味合蒸,1,131,520,0.1,0.1,0,5,5,15,0,0
剁椒鱼头,1,236,745,0.1,0.1,50,0,0,0,10,0
金鱼戏莲,1,339,970,0.1,0.1,10,0,0,30,0,5
组庵豆腐,2,467,1265,0.1,0.1,30,0,80,0,0,0
姊妹团子,2,636,1490,0.1,0.1,0,10,10,100,0,0
岳阳姜辣蛇,2,774,1715,0.1,0.1,50,50,100,0,0,0
湘西外婆菜,3,759,1920,0.1,0.1,200,20,20,0,0,0
蝴蝶过河,3,1015,2145,0.1,0.1,200,50,0,0,30,0
洞庭金龟,3,1192,2370,0.1,0.1,100,50,0,0,68,0
荷叶粉蒸肉,0,31,70,0.1,0,6,8,0,0,0,0
金陵盐水鸭,0,35,80,0.1,0,0,14,0,0,0,0
西湖莼菜羹,0,46,170,0.1,0.1,12,5,0,0,0,0
小鸡酥,0,83,320,0.1,0.1,0,0,18,0,0,0
东坡肉,1,138,470,0.1,0.1,0,40,0,0,0,0
奶汤跳跳鱼,1,264,695,0.1,0.1,0,0,0,0,30,0
龙井虾仁,1,409,920,0.1,0.1,0,0,5,50,0,5
糖醋排骨,2,478,1165,0.1,0.1,0,140,0,0,0,0
干炸响铃,2,621,1390,0.1,0.1,0,50,100,0,0,0
西湖醋鱼,2,732,1615,0.1,0.1,0,0,0,0,80,0
宋嫂鱼羹,3,805,1820,0.1,0.1,20,0,20,0,70,0
桂花鲜栗羹,3,1067,2045,0.1,0.1,250,50,50,0,0,0
八宝豆腐,3,1209,2270,0.1,0.1,100,50,124,0,10,0
清汤火方,0,59,180,0.1,0.1,10,12,0,0,0,0
文思豆腐,0,107,330,0.1,0.1,0,20,10,0,0,0
徐州蜜三刀,1,155,480,0.1,0.1,0,0,5,25,0,0
梁溪脆鳝,1,231,705,0.1,0.1,50,0,0,0,10,0
阳澄大闸蟹,1,334,930,0.1,0.1,0,0,0,0,0,12
盐城涨蛋糕,2,450,1185,0.1,0.1,0,0,0,80,0,0
松鼠鳜鱼,2,492,1410,0.1,0.1,0,0,0,0,50,0
红烧狮子头,2,773,1635,0.1,0.1,20,20,0,120,0,0
扬州炒饭,3,945,1840,0.1,0.1,30,0,50,120,0,0
三套鸭,3,1002,2065,0.1,0.1,50,250,0,0,0,0
龙凤烩,3,1288,2290,0.1,0.1,50,162,50,0,30,0
太白鸭,0,34,110,0.1,0,0,12,0,0,0,0
干炸丸子,0,37,140,0.1,0.1,5,8,0,0,0,0
老北京爆肚,0,64,240,0.1,0.1,12,10,0,0,0,0
三不粘,0,109,390,0.1,0.1,0,0,0,20,0,0
乌龙吐珠,1,150,540,0.1,0.1,0,5,0,15,5,0
金丝海蟹,1,209,765,0.1,0.1,0,0,0,10,0,5
红娘自配,1,259,990,0.1,0.1,10,5,10,0,0,5
宫廷黄糕,2,457,1305,0.1,0.1,0,0,10,70,0,0
北京烤鸭,2,524,1530,0.1,0.1,32,100,0,0,0,0
灯影牛肉,0,62,210,0.1,0.1,0,20,0,0,0,0
酸辣土豆丝,0,86,360,0.1,0.1,30,0,0,0,0,0
夫妻肺片,1,167,510,0.1,0.1,0,30,15,0,0,0
水煮鱼,1,235,735,0.1,0.1,0,0,0,0,25,0
回锅肉,1,278,960,0.1,0.1,80,10,0,0,0,0
辣子鸡,2,397,1245,0.1,0.1,20,50,30,0,0,0
麻婆豆腐,2,543,1470,0.1,0.1,20,20,85,0,0,0
宫保鸡丁,2,619,1695,0.1,0.1,0,100,50,0,0,0
毛血旺,3,870,1900,0.1,0.1,20,100,100,0,0,0
五柳鱼,3,1021,2125,0.1,0.1,100,0,0,0,80,0
四川火锅,3,1257,2350,0.1,0.1,254,50,0,0,0,10
青龙卧雪,0,80,300,0.1,0,20,0,0,0,0,0
翠竹报春,0,146,600,0.1,0,20,10,0,0,0,0
荷塘小炒,1,159,720,0.1,0.1,50,0,0,0,0,0
农家菜干煲,1,338,1440,0.1,0.1,50,40,0,0,0,0
粟粄,2,534,1800,0.1,0.1,0,0,100,0,0,0
清凉酿苦瓜,2,651,2025,0.1,0.1,83,50,0,30,0,0
擂茶,2,889,2200,0.1,0.1,200,80,0,0,0,0
煎春角,3,1248,2300,0.1,0.1,0,50,0,200,0,0
梅菜扣肉,3,1342,2400,0.1,0.1,150,280,0,0,0,0
客家酿豆腐,4,1432,2700,0.1,0.2,0,120,150,0,20,5
炒圈子,1,226,720,0.1,0.1,30,40,0,0,0,0
生煎馒头,1,338,1440,0.1,0.1,0,0,60,0,0,0
葱油拌面,2,574,1800,0.1,0.1,50,0,80,0,0,0
红烧羊肉,2,754,2025,0.1,0.1,100,120,0,0,0,0
上海熏鱼,2,889,2200,0.1,0.1,100,0,0,0,60,0
锅烧河鳗,3,1189,2300,0.1,0.1,100,0,0,0,100,0
炝虾,3,1342,2400,0.1,0.1,0,0,0,0,0,50
油酱毛蟹,3,1432,2700,0.1,0.2,100,0,100,0,0,25
乌米饭,0,119,600,0.1,0,20,0,10,0,0,0
干菜扣肉,1,267,720,0.1,0.1,50,40,0,0,0,0
桂花蜜藕,1,458,1440,0.1,0.1,100,0,30,0,0,0
油焖春笋,2,788,1800,0.1,0.1,280,0,0,0,0,0
定胜糕,2,889,2200,0.1,0.2,100,0,120,0,0,0
翡翠玉扇,1,277,800,0.1,0.1,100,0,0,0,0,0
百年好合,1,474,1600,0.1,0.1,150,0,0,0,0,0
兰花茭白,2,713,2000,0.1,0.1,100,0,80,0,0,0
银鹅千姿,2,889,2300,0.1,0.1,100,0,120,0,0,0
游园惊梦,2,966,2600,0.1,0.1,10,10,0,0,90,0
玉兔拜月,3,1397,2900,0.1,0.1,0,20,50,200,0,0
玲珑玉心,3,1478,3200,0.1,0.1,280,0,0,0,0,25
金屋藏娇,3,1527,3400,0.1,0.2,20,200,100,0,0,10
